2026-04-01 22:11:16,771 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2026-04-01 22:11:16,838 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2026-04-01 22:11:16,840 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2026-04-01 22:11:16,840 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2026-04-01 22:11:16,845 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2026-04-01 22:11:16,846 INFO  SwAddin.cs: 197 - Setting up callbacks
2026-04-01 22:11:16,848 INFO  SwAddin.cs: 201 - Setting up command manager
2026-04-01 22:11:16,849 INFO  SwAddin.cs: 204 - Adding command manager
2026-04-01 22:11:16,888 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2026-04-01 22:11:16,891 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2026-04-01 22:11:16,891 INFO  SwAddin.cs: 210 - Adding event handlers
2026-04-01 22:11:17,044 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2026-04-01 22:12:33,512 INFO  SwAddin.cs: 294 - Assembly export called for file robot
2026-04-01 22:12:33,515 INFO  SwAddin.cs: 299 - Save is required
2026-04-01 22:12:33,515 INFO  SwAddin.cs: 313 - Saving assembly
2026-04-01 22:12:34,124 INFO  SwAddin.cs: 316 - Opening property manager
2026-04-01 22:12:34,133 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from robot
2026-04-01 22:12:34,155 INFO  ExportHelperExtension.cs: 1136 - Found 323 in robot
2026-04-01 22:12:34,155 INFO  ExportHelperExtension.cs: 1145 - Found 7 features of type [CoordSys] in robot
2026-04-01 22:12:34,155 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-04-01 22:12:34,159 INFO  ExportHelperExtension.cs: 1160 - 132 components to check
2026-04-01 22:12:34,159 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from robot
2026-04-01 22:12:34,159 INFO  ExportHelperExtension.cs: 1136 - Found 323 in robot
2026-04-01 22:12:34,161 INFO  ExportHelperExtension.cs: 1145 - Found 9 features of type [RefAxis] in robot
2026-04-01 22:12:34,161 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-04-01 22:12:34,161 INFO  ExportHelperExtension.cs: 1160 - 132 components to check
2026-04-01 22:12:34,559 INFO  SwAddin.cs: 339 - Loading config tree
2026-04-01 22:12:34,566 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2026-04-01 22:12:34,566 INFO  SwAddin.cs: 344 - Showing property manager
2026-04-01 22:12:39,075 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:13:03,928 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:13:04,095 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:13:37,445 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:13:41,173 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:13:42,267 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:13:45,598 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:14:05,238 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:14:07,941 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:14:10,148 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:14:33,397 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:15:30,207 INFO  SwAddin.cs: 294 - Assembly export called for file robot
2026-04-01 22:15:31,176 INFO  SwAddin.cs: 313 - Saving assembly
2026-04-01 22:15:31,431 INFO  SwAddin.cs: 316 - Opening property manager
2026-04-01 22:15:31,432 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from robot
2026-04-01 22:15:31,433 INFO  ExportHelperExtension.cs: 1136 - Found 323 in robot
2026-04-01 22:15:31,434 INFO  ExportHelperExtension.cs: 1145 - Found 7 features of type [CoordSys] in robot
2026-04-01 22:15:31,434 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-04-01 22:15:31,434 INFO  ExportHelperExtension.cs: 1160 - 132 components to check
2026-04-01 22:15:31,435 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from robot
2026-04-01 22:15:31,435 INFO  ExportHelperExtension.cs: 1136 - Found 323 in robot
2026-04-01 22:15:31,436 INFO  ExportHelperExtension.cs: 1145 - Found 9 features of type [RefAxis] in robot
2026-04-01 22:15:31,436 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-04-01 22:15:31,437 INFO  ExportHelperExtension.cs: 1160 - 132 components to check
2026-04-01 22:15:31,472 INFO  SwAddin.cs: 339 - Loading config tree
2026-04-01 22:15:31,474 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2026-04-01 22:15:31,475 INFO  SwAddin.cs: 344 - Showing property manager
2026-04-01 22:15:33,848 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:15:54,879 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:15:55,022 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:16:07,771 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:16:09,409 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:16:13,907 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:16:15,129 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:16:25,023 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:16:40,534 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:16:43,028 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:16:44,692 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:17:15,414 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:17:29,523 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:17:32,117 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:17:34,142 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:17:51,548 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:17:51,572 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-01 22:17:51,596 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
